Country,Year,Disease,Disease Category,Prevalence,Incidence,Mortality,Population Affected,Healthcare Access (%),Doctors per 1000,Hospital Beds per 1000,Recovery Rate (%),Improvement in 5 Years (%),Urbanization Rate (%)
Japan,2024,Diabetes,Cardiovascular,6.16,11.36,1.85,482536.0,58.45,1.56,9.81,67.42,1.25,89.6
Mexico,2020,Hypertension,Genetic,16.51,4.74,0.93,764715.0,86.58,2.63,1.93,81.53,4.19,49.8
China,2023,Asthma,Infectious,9.76,3.79,2.81,541869.0,59.19,3.04,8.64,85.67,6.48,84.52
Italy,2021,Cancer,Cardiovascular,8.6,14.6,7.66,852042.0,79.27,4.83,0.85,97.63,5.01,80.65
Italy,2022,Asthma,Bacterial,8.72,6.34,8.92,609000.0,68.91,3.8,7.06,73.67,4.09,75.4
Nigeria,2020,Hypertension,Bacterial,9.84,11.56,0.79,963489.0,81.45,4.89,4.58,54.66,4.56,59.73
South Korea,2022,Diabetes,Parasitic,4.8,5.54,0.76,551493.0,90.5,2.7,7.83,91.6,2.0,58.4
South Korea,2023,Asthma,Metabolic,9.95,11.75,7.21,571296.0,74.41,0.64,9.4,54.67,1.22,23.48
China,2022,Asthma,Infectious,4.23,11.74,0.82,333344.0,57.91,1.94,8.0,51.87,9.14,24.88
Mexico,2024,Asthma,Neurological,11.09,9.75,6.28,690790.0,50.97,2.27,5.46,53.5,5.47,85.63
Argentina,2023,Hypertension,Metabolic,17.14,9.3,5.23,800870.0,67.2,1.35,3.13,69.09,0.9,28.88
USA,2020,Diabetes,Neurological,3.04,12.65,5.29,552054.0,94.48,2.5,5.31,85.48,8.94,58.24
China,2023,Diabetes,Respiratory,14.72,6.67,4.9,179141.0,97.32,4.06,4.3,75.92,9.75,56.32
Canada,2021,Asthma,Viral,10.57,11.47,1.42,48947.0,91.67,0.53,7.8,58.68,8.88,37.17
Argentina,2022,Diabetes,Infectious,8.93,0.79,9.79,820775.0,64.5,2.51,3.74,89.77,0.64,42.83
Nigeria,2024,Cancer,Neurological,13.72,14.71,4.47,740595.0,86.92,2.01,9.07,91.66,0.99,60.56
Turkey,2022,Diabetes,Autoimmune,13.11,4.82,5.67,166749.0,61.5,2.93,1.67,88.18,8.24,85.28
Italy,2020,Asthma,Infectious,7.9,9.09,6.93,184647.0,95.74,4.68,9.5,86.66,8.19,72.75
Mexico,2022,Hypertension,Autoimmune,12.83,1.49,1.57,479599.0,89.79,3.47,6.78,58.05,1.51,49.57
China,2022,Diabetes,Autoimmune,9.55,6.15,3.93,106130.0,71.93,4.64,9.67,65.53,6.93,27.7
Argentina,2021,Hypertension,Respiratory,7.6,7.25,0.37,494587.0,59.28,4.35,1.03,97.61,5.5,30.95
India,2021,Asthma,Cardiovascular,2.67,3.99,3.51,504975.0,91.12,2.22,4.24,72.43,2.39,63.42
Brazil,2022,Hypertension,Bacterial,2.38,2.61,2.84,926338.0,89.38,3.0,5.61,77.92,1.37,77.42
UK,2024,Asthma,Chronic,18.72,1.22,7.77,915193.0,77.77,1.75,5.55,56.41,0.2,69.13
South Africa,2023,Cancer,Respiratory,12.84,7.57,9.34,495112.0,98.19,4.08,2.95,90.96,5.9,25.18
South Africa,2021,Asthma,Parasitic,6.81,13.26,4.33,163808.0,69.47,2.25,2.14,63.7,6.39,47.66
India,2020,Diabetes,Cardiovascular,19.8,6.43,2.88,17444.0,65.21,1.51,1.07,71.23,0.14,71.69
South Africa,2021,Cancer,Chronic,1.86,12.14,3.76,368918.0,64.92,4.25,8.35,82.04,3.12,43.66
Turkey,2024,Diabetes,Cardiovascular,6.96,8.34,7.94,31065.0,78.64,4.57,3.56,70.43,8.66,25.85
Indonesia,2024,Cancer,Parasitic,17.09,6.6,9.47,917844.0,62.78,3.44,0.67,69.89,5.64,32.37
India,2024,Diabetes,Neurological,12.7,2.07,4.84,405317.0,60.23,2.47,2.36,77.86,8.74,87.93
Turkey,2021,Hypertension,Viral,14.03,4.66,8.32,332184.0,56.4,3.92,7.13,76.15,9.17,68.95
South Korea,2020,Diabetes,Chronic,4.51,1.75,1.84,996086.0,61.53,2.05,7.61,65.34,4.19,75.5
Nigeria,2020,Cancer,Chronic,4.3,5.43,9.73,276813.0,86.49,1.69,7.78,94.32,2.28,77.93
UK,2021,Hypertension,Cardiovascular,1.69,6.0,5.33,463783.0,98.16,1.05,8.82,98.07,8.66,30.86
India,2021,Hypertension,Chronic,6.73,9.34,7.8,23425.0,88.4,0.7,5.91,77.69,8.53,64.64
UK,2021,Diabetes,Autoimmune,9.33,1.71,6.36,628766.0,91.44,1.0,6.97,92.31,2.18,84.96
Argentina,2020,Diabetes,Chronic,14.13,9.14,9.39,42262.0,86.63,3.07,5.29,66.27,4.69,81.64
Brazil,2022,Asthma,Neurological,5.66,3.63,9.81,117969.0,96.38,2.49,6.33,74.83,1.37,66.39
Argentina,2024,Cancer,Viral,1.17,9.56,4.62,130211.0,73.32,4.79,8.11,97.36,9.33,81.96
USA,2024,Cancer,Respiratory,5.41,0.43,8.66,719805.0,62.51,4.47,9.02,91.33,3.19,63.72
Indonesia,2021,Diabetes,Neurological,17.35,14.17,9.57,934076.0,51.73,4.07,5.88,56.55,5.26,25.72
France,2020,Diabetes,Metabolic,8.43,12.15,0.97,177104.0,70.23,2.26,2.78,68.99,4.92,48.15
Indonesia,2021,Cancer,Neurological,0.85,1.15,2.81,437324.0,52.83,3.33,9.01,78.56,5.62,29.28
France,2024,Diabetes,Chronic,16.02,9.0,8.8,577513.0,66.74,3.2,8.4,91.79,8.9,65.71
South Africa,2024,Cancer,Viral,5.12,4.69,9.79,991746.0,80.03,4.43,9.97,94.93,6.05,68.56
India,2023,Asthma,Metabolic,14.03,12.28,4.31,460504.0,67.4,1.86,8.51,91.23,6.5,32.5
Nigeria,2022,Cancer,Bacterial,16.03,1.71,6.63,604292.0,95.97,3.85,3.27,88.15,1.43,35.8
Mexico,2021,Cancer,Neurological,7.26,8.1,3.88,849715.0,98.42,4.17,9.86,78.96,7.13,72.37
Saudi Arabia,2022,Hypertension,Chronic,12.82,10.28,1.23,953892.0,77.94,2.16,1.21,58.08,1.1,23.16
Brazil,2021,Cancer,Viral,6.81,14.99,4.11,864015.0,53.44,4.86,5.84,64.09,9.84,39.06
Brazil,2023,Hypertension,Cardiovascular,0.46,5.66,2.85,785510.0,66.21,2.15,3.19,64.64,3.06,82.57
Germany,2020,Asthma,Viral,12.44,10.96,1.46,849833.0,50.94,4.26,8.45,62.34,9.62,25.81
South Korea,2024,Diabetes,Viral,6.5,8.46,6.1,12461.0,75.78,1.83,8.89,61.75,3.37,70.31
Brazil,2024,Hypertension,Respiratory,2.58,11.75,8.81,969017.0,61.93,2.72,9.52,73.44,6.46,74.91
Nigeria,2022,Diabetes,Parasitic,19.52,14.6,1.4,234274.0,68.58,2.41,1.45,96.36,8.33,84.78
Japan,2022,Diabetes,Viral,10.45,2.14,8.91,412355.0,55.32,2.33,3.25,78.77,9.53,20.14
China,2024,Cancer,Parasitic,10.17,8.3,5.7,755305.0,53.4,4.22,7.68,89.2,7.25,84.97
South Korea,2020,Hypertension,Chronic,2.69,3.79,4.49,468535.0,77.65,1.53,1.94,82.58,0.75,79.31
Mexico,2020,Diabetes,Genetic,11.05,13.44,3.83,530163.0,51.06,2.12,1.59,97.08,5.09,78.11
Nigeria,2023,Cancer,Respiratory,12.67,5.21,4.08,769641.0,71.79,3.44,8.75,74.3,7.42,89.21
Japan,2021,Hypertension,Neurological,9.22,14.38,5.87,567896.0,58.53,1.71,9.04,60.24,9.36,39.63
Japan,2022,Asthma,Infectious,3.31,2.6,3.48,508317.0,93.12,3.55,9.8,96.78,8.83,57.0
USA,2021,Hypertension,Bacterial,17.45,10.86,1.79,824766.0,83.72,4.42,4.79,59.1,0.37,83.74
Indonesia,2023,Diabetes,Genetic,4.83,4.57,9.85,722040.0,75.96,1.18,2.13,65.32,1.23,23.73
France,2023,Diabetes,Infectious,3.11,11.79,4.56,393265.0,67.85,4.89,8.24,81.6,4.03,33.14
Turkey,2023,Asthma,Genetic,1.31,14.99,9.04,151704.0,80.22,0.58,1.66,75.3,0.91,85.51
Japan,2023,Hypertension,Metabolic,9.3,13.76,6.41,28817.0,70.24,4.46,4.37,90.46,5.47,69.55
Brazil,2022,Cancer,Bacterial,12.48,9.08,2.91,626246.0,56.35,1.82,3.45,52.45,5.88,72.01
USA,2020,Diabetes,Metabolic,18.83,13.76,3.29,888747.0,64.35,1.15,1.12,52.36,5.92,20.95
USA,2023,Cancer,Respiratory,4.02,0.66,8.75,604540.0,92.34,4.59,5.84,88.59,1.05,27.78
Saudi Arabia,2023,Asthma,Respiratory,1.31,5.81,0.96,928828.0,68.34,4.25,4.3,82.92,2.48,80.13
Nigeria,2020,Hypertension,Bacterial,17.38,3.23,1.61,547531.0,89.02,4.9,4.16,67.01,7.68,33.51
Indonesia,2023,Asthma,Neurological,11.64,8.61,7.6,804064.0,57.02,1.37,8.53,52.53,4.28,87.54
Italy,2023,Cancer,Metabolic,14.17,13.59,3.63,257537.0,59.07,4.08,8.53,60.14,8.82,42.09
Russia,2023,Cancer,Autoimmune,9.76,12.88,3.92,224741.0,82.89,0.95,6.79,98.17,8.05,35.25
China,2020,Cancer,Infectious,5.94,9.79,0.29,104943.0,54.0,3.69,9.47,70.58,2.5,22.13
Russia,2023,Asthma,Neurological,17.89,10.94,5.87,924205.0,53.93,0.67,3.48,73.31,9.58,82.63
South Africa,2023,Asthma,Genetic,11.41,6.68,2.05,216603.0,80.88,3.49,7.73,98.31,3.52,55.31
Germany,2021,Cancer,Viral,17.14,12.89,9.4,580467.0,75.49,2.73,3.78,59.92,4.59,73.73
Japan,2022,Cancer,Parasitic,4.21,14.49,3.75,41020.0,51.28,4.31,0.6,60.72,8.91,34.49
Saudi Arabia,2020,Hypertension,Bacterial,5.55,6.83,0.91,653379.0,68.11,3.99,9.37,56.24,1.12,79.84
UK,2021,Hypertension,Metabolic,12.5,8.24,6.57,418675.0,88.63,4.66,5.26,56.49,4.32,88.55
India,2022,Cancer,Autoimmune,9.75,8.79,7.71,913179.0,86.7,0.93,5.78,75.76,6.89,50.46
Brazil,2020,Cancer,Chronic,10.66,10.59,3.41,904277.0,89.03,2.47,2.07,93.71,4.6,26.55
Indonesia,2021,Hypertension,Parasitic,2.97,14.17,0.69,520375.0,68.23,3.54,0.63,58.42,4.35,63.05
Nigeria,2023,Hypertension,Viral,11.57,0.23,4.2,474206.0,50.37,3.74,7.73,70.1,7.67,47.65
Russia,2021,Asthma,Viral,0.48,11.36,0.14,932336.0,96.88,3.98,4.66,61.27,2.32,72.46
South Korea,2020,Cancer,Metabolic,10.34,11.33,1.93,683150.0,87.37,2.92,6.39,91.02,9.42,36.6
China,2021,Cancer,Cardiovascular,12.59,0.2,5.33,334757.0,78.21,1.88,1.45,63.16,5.81,87.31
South Korea,2021,Diabetes,Viral,16.3,7.59,9.61,601477.0,76.63,0.6,1.21,98.26,0.45,25.36
Japan,2020,Diabetes,Autoimmune,15.07,5.61,4.4,935869.0,62.94,1.71,0.6,75.1,2.03,26.36
Turkey,2022,Asthma,Infectious,8.45,1.14,0.29,699962.0,74.96,4.23,4.66,80.95,8.97,56.54
Russia,2022,Hypertension,Viral,9.23,7.55,2.68,927099.0,77.66,1.73,1.74,53.16,0.44,54.47
Indonesia,2023,Hypertension,Metabolic,4.28,6.34,3.47,298915.0,74.52,0.9,0.52,51.8,2.22,79.71
Russia,2023,Cancer,Viral,1.18,4.05,7.21,631671.0,82.22,1.78,1.83,82.43,6.59,69.2
Canada,2024,Asthma,Bacterial,1.54,8.65,3.55,204309.0,65.4,1.04,1.98,72.25,0.15,82.89
Indonesia,2021,Diabetes,Cardiovascular,8.06,12.96,3.57,983773.0,63.68,1.63,0.62,79.32,9.89,48.14
Turkey,2021,Diabetes,Neurological,5.41,7.86,3.03,285708.0,61.74,4.21,7.34,56.67,1.92,48.95
Italy,2020,Asthma,Viral,14.22,13.06,4.87,98300.0,97.18,1.81,3.82,61.33,9.86,77.56
UK,2021,Cancer,Neurological,8.3,6.14,8.08,504198.0,93.09,2.02,6.47,82.92,1.53,42.93
Mexico,2024,Hypertension,Cardiovascular,7.87,6.06,6.99,453745.0,52.95,1.78,9.99,80.47,1.86,58.87
Mexico,2024,Asthma,Viral,17.55,1.2,4.7,842346.0,55.07,3.48,7.96,70.85,8.07,86.16
India,2020,Diabetes,Chronic,5.76,14.18,5.19,94376.0,91.43,3.96,1.11,78.82,8.22,77.71
Nigeria,2022,Hypertension,Chronic,17.21,14.54,1.46,121228.0,68.12,4.08,2.51,53.73,9.99,76.17
Saudi Arabia,2023,Diabetes,Autoimmune,12.26,13.96,3.46,561840.0,72.21,1.65,8.89,65.34,5.22,84.0
India,2021,Asthma,Cardiovascular,8.61,14.1,2.37,758217.0,53.69,2.94,4.24,83.56,8.06,70.52
Australia,2021,Hypertension,Metabolic,10.29,5.26,0.38,938313.0,67.51,1.98,3.08,82.32,7.28,31.52
Indonesia,2021,Diabetes,Chronic,10.57,3.62,1.52,582534.0,82.47,2.0,1.81,54.97,7.82,37.32
South Africa,2022,Hypertension,Cardiovascular,0.11,4.07,9.32,87707.0,89.76,2.43,2.84,89.99,6.33,31.3
Canada,2023,Hypertension,Viral,10.93,0.93,2.67,918574.0,62.91,2.99,2.38,72.33,6.25,43.72
Canada,2023,Cancer,Chronic,10.72,11.42,8.78,823906.0,55.05,2.91,9.05,76.12,4.81,22.3
Japan,2023,Hypertension,Viral,3.54,4.86,8.26,395307.0,56.6,1.79,6.86,60.82,6.6,87.41
Indonesia,2020,Diabetes,Genetic,15.32,0.42,4.17,740753.0,91.57,1.14,5.59,55.92,5.3,75.95
South Korea,2022,Hypertension,Chronic,18.14,2.04,0.28,301234.0,63.34,2.28,1.83,52.94,7.8,64.2
USA,2022,Asthma,Metabolic,10.54,1.04,3.53,478809.0,75.32,1.3,5.69,54.31,5.09,37.04
Canada,2023,Diabetes,Respiratory,12.3,0.78,0.27,744188.0,76.18,1.09,2.84,66.81,6.78,24.5
Australia,2020,Diabetes,Respiratory,11.07,0.43,6.73,554960.0,91.93,2.46,0.86,62.86,0.1,59.07
Saudi Arabia,2022,Hypertension,Neurological,5.56,12.84,3.72,137037.0,84.95,3.43,9.39,96.38,6.23,77.09
Mexico,2023,Hypertension,Chronic,7.89,11.23,6.0,165013.0,99.29,2.83,4.84,90.21,9.33,35.74
Mexico,2022,Cancer,Parasitic,19.87,5.36,7.48,672439.0,60.17,1.59,6.59,75.0,9.91,27.13
India,2024,Hypertension,Autoimmune,0.48,9.88,6.78,561546.0,67.1,0.83,1.84,75.23,7.77,25.76
India,2022,Asthma,Viral,16.7,2.03,6.17,50396.0,67.15,2.4,6.41,63.72,3.31,54.33
Canada,2024,Cancer,Metabolic,5.1,7.32,0.22,441295.0,64.36,2.47,4.42,52.31,5.06,27.26
France,2022,Asthma,Viral,12.29,13.85,1.83,788058.0,55.87,1.55,6.22,73.72,4.46,58.78
Argentina,2023,Asthma,Infectious,19.25,0.59,1.68,448091.0,50.42,4.54,1.17,93.68,7.97,79.71
France,2023,Hypertension,Cardiovascular,8.05,8.67,6.03,286936.0,58.62,1.34,3.97,62.49,1.57,80.44
Russia,2022,Hypertension,Infectious,18.54,5.0,3.31,128519.0,78.38,3.13,0.6,78.04,4.33,24.3
Germany,2023,Cancer,Cardiovascular,15.19,3.25,7.84,415396.0,89.4,2.47,9.1,53.67,5.65,48.9
USA,2020,Asthma,Neurological,19.49,0.89,8.34,701355.0,52.18,4.39,4.66,69.64,9.71,84.68
Nigeria,2024,Asthma,Respiratory,18.37,9.78,4.56,560956.0,84.87,0.87,2.64,67.92,6.32,50.74
South Korea,2023,Asthma,Metabolic,16.4,5.83,2.5,884732.0,85.98,1.25,3.49,83.17,7.33,58.14
Mexico,2023,Asthma,Viral,9.26,12.46,1.07,15870.0,53.54,3.33,6.64,62.09,4.74,83.24
Japan,2024,Asthma,Genetic,13.4,9.28,7.95,88997.0,75.5,3.93,7.29,86.44,7.92,79.59
Russia,2024,Hypertension,Infectious,2.01,2.25,3.67,732446.0,69.55,4.84,7.76,51.39,3.2,32.88
South Korea,2022,Diabetes,Infectious,18.45,9.67,6.1,551973.0,75.22,2.37,7.57,88.33,5.55,39.91
UK,2020,Cancer,Chronic,6.9,14.48,4.81,613607.0,62.7,1.66,2.61,52.21,2.84,69.52
India,2023,Diabetes,Metabolic,4.64,14.49,5.35,88653.0,96.41,2.94,9.94,60.5,0.42,49.19
Argentina,2022,Asthma,Chronic,13.09,0.31,5.76,259377.0,95.24,0.92,1.49,81.11,2.44,37.89
France,2024,Diabetes,Parasitic,7.56,6.26,7.75,968681.0,98.31,3.78,5.62,88.79,5.48,57.82
Germany,2022,Diabetes,Parasitic,6.65,9.15,8.47,121981.0,77.36,2.1,5.3,82.66,4.84,68.42
Germany,2021,Cancer,Bacterial,14.38,1.0,1.74,898238.0,66.25,1.29,8.26,87.33,7.53,81.73
Japan,2021,Asthma,Viral,11.26,4.61,9.82,207486.0,98.49,2.08,8.67,72.31,5.33,74.5
UK,2021,Asthma,Genetic,15.31,12.63,6.22,865699.0,82.37,0.98,8.5,98.96,1.84,67.13
Saudi Arabia,2020,Asthma,Parasitic,9.2,0.63,7.47,107806.0,57.12,3.62,6.05,85.66,5.83,81.71
Indonesia,2022,Asthma,Respiratory,9.78,3.2,5.61,368866.0,67.15,2.09,8.46,79.07,6.75,48.58
Japan,2021,Hypertension,Parasitic,18.78,9.97,9.53,384997.0,93.48,1.35,0.69,97.98,1.72,51.04
South Africa,2020,Diabetes,Metabolic,3.94,6.89,9.86,728727.0,97.38,1.13,1.97,62.33,2.24,36.27
Brazil,2021,Cancer,Neurological,13.51,4.62,2.63,952367.0,66.14,2.06,1.7,74.69,5.39,44.65
Italy,2020,Asthma,Metabolic,11.03,8.78,2.36,868308.0,55.1,4.92,7.46,50.3,4.57,57.8
Brazil,2023,Hypertension,Parasitic,14.79,3.85,7.89,134113.0,66.11,3.84,2.41,72.01,9.23,33.63
South Korea,2020,Asthma,Parasitic,14.78,2.64,7.83,505270.0,60.87,2.94,2.79,58.18,9.47,56.57
Indonesia,2020,Hypertension,Genetic,6.5,12.8,7.09,229923.0,64.46,3.51,5.29,55.72,1.29,63.54
Argentina,2024,Cancer,Cardiovascular,17.7,10.44,6.36,345860.0,64.11,1.96,5.21,80.29,1.97,48.27
Australia,2021,Asthma,Genetic,6.44,4.61,6.61,597317.0,80.65,1.61,6.51,79.8,5.18,29.06
Argentina,2021,Cancer,Bacterial,1.74,11.14,0.63,846174.0,93.84,4.63,5.23,87.09,8.19,51.99
China,2024,Diabetes,Metabolic,10.2,1.43,9.19,832360.0,70.78,4.26,7.35,88.32,1.8,44.59
Canada,2024,Diabetes,Metabolic,14.35,2.4,0.62,410753.0,65.93,0.85,0.87,54.8,7.41,34.97
Canada,2023,Cancer,Bacterial,0.66,4.31,1.93,614952.0,98.02,2.45,1.39,63.22,2.85,67.11
South Korea,2022,Diabetes,Autoimmune,6.6,9.13,1.37,13706.0,59.19,3.58,3.35,85.43,5.12,49.94
Canada,2021,Asthma,Parasitic,4.01,1.89,7.04,842581.0,66.37,0.61,2.88,67.63,9.41,63.46
Canada,2023,Asthma,Viral,10.62,3.84,7.51,136162.0,95.94,4.99,5.85,55.1,7.66,46.79
Brazil,2024,Hypertension,Autoimmune,15.22,12.86,1.8,141720.0,61.67,1.94,5.07,74.67,6.36,82.81
Indonesia,2020,Diabetes,Respiratory,4.42,2.99,2.4,294069.0,68.15,2.59,4.86,62.85,4.19,74.8
USA,2020,Cancer,Neurological,5.67,14.09,9.27,426741.0,53.48,0.78,8.0,85.43,0.39,75.81
France,2023,Asthma,Infectious,1.47,5.33,5.54,724831.0,97.92,3.58,2.88,55.83,6.05,64.33
France,2024,Asthma,Genetic,12.51,1.46,0.54,400961.0,98.14,1.4,5.54,72.83,4.72,32.09
Turkey,2024,Hypertension,Metabolic,17.31,12.36,5.68,687226.0,74.48,4.46,7.4,95.2,5.8,26.41
France,2022,Diabetes,Autoimmune,13.84,7.96,9.63,143152.0,56.65,3.78,8.59,87.79,7.66,34.12
Japan,2021,Asthma,Respiratory,16.44,8.38,6.68,190657.0,87.81,2.78,5.62,56.65,2.78,80.02
Brazil,2020,Asthma,Parasitic,5.72,12.63,1.33,644991.0,78.27,1.91,8.91,88.53,1.68,77.87
UK,2022,Cancer,Viral,19.15,0.97,2.2,765116.0,68.69,1.94,1.97,89.63,4.29,57.33
France,2021,Asthma,Metabolic,18.31,2.63,8.6,8439.0,75.47,4.81,1.6,57.9,9.08,78.23
South Africa,2022,Hypertension,Genetic,19.71,6.11,7.63,72403.0,70.41,4.78,6.76,73.67,3.74,29.54
Brazil,2024,Cancer,Neurological,18.39,1.92,8.4,49851.0,71.61,3.38,6.37,51.08,7.68,75.93
USA,2023,Hypertension,Infectious,13.65,4.83,5.32,84720.0,99.84,4.82,3.9,51.59,2.52,78.5
Germany,2023,Hypertension,Respiratory,15.34,6.27,3.41,71071.0,74.83,4.17,1.77,84.61,0.17,37.82
Russia,2024,Asthma,Parasitic,10.3,6.12,6.26,901043.0,55.99,4.53,2.27,96.81,7.95,89.69
Russia,2021,Hypertension,Respiratory,0.18,0.47,2.05,352093.0,56.63,4.15,9.33,60.32,8.29,72.79
Argentina,2024,Asthma,Parasitic,3.66,8.6,7.34,283231.0,73.0,3.85,7.15,65.74,4.8,79.78
Nigeria,2023,Asthma,Parasitic,3.45,6.62,0.14,911218.0,70.04,3.66,1.79,81.77,1.53,53.61
Russia,2020,Hypertension,Autoimmune,9.64,2.06,0.13,752530.0,51.91,0.77,7.4,75.94,5.43,25.42
Turkey,2020,Diabetes,Cardiovascular,2.2,6.54,9.95,366423.0,69.95,4.59,2.44,76.59,6.01,74.43
Canada,2020,Diabetes,Cardiovascular,8.07,14.03,7.19,898391.0,90.39,2.2,6.45,59.36,6.44,88.1
Brazil,2021,Cancer,Respiratory,10.94,4.98,4.29,473811.0,60.39,2.72,0.93,54.34,2.54,46.87
India,2023,Cancer,Chronic,5.66,3.89,5.42,18795.0,85.67,3.33,2.28,85.97,3.08,31.43
Saudi Arabia,2021,Asthma,Autoimmune,9.07,6.56,0.98,497145.0,94.91,1.08,6.35,53.35,5.41,34.02
France,2022,Hypertension,Neurological,2.56,1.52,3.12,413756.0,79.23,2.23,1.02,71.25,7.21,76.33
Germany,2020,Hypertension,Metabolic,13.7,13.24,3.55,113825.0,80.18,3.22,4.4,85.19,7.13,59.79
India,2022,Cancer,Neurological,18.96,4.29,6.11,246726.0,57.46,4.89,3.29,84.26,5.51,76.41
Italy,2024,Cancer,Bacterial,6.27,10.78,5.66,33970.0,59.01,1.38,6.88,63.33,8.92,62.24
Brazil,2020,Cancer,Chronic,19.59,11.43,1.17,207882.0,73.22,0.92,9.33,84.57,9.43,60.68
Brazil,2022,Asthma,Bacterial,7.97,3.43,3.04,561539.0,92.78,4.31,7.84,70.37,6.03,30.83
Saudi Arabia,2020,Cancer,Genetic,6.64,14.33,5.79,34727.0,78.19,3.3,5.18,89.33,8.6,22.22
UK,2022,Asthma,Infectious,5.85,6.58,5.77,414230.0,79.93,0.76,1.83,55.31,2.34,68.1
Japan,2022,Diabetes,Metabolic,6.67,3.36,2.9,493096.0,58.86,2.48,8.86,85.08,2.69,63.52
Brazil,2024,Cancer,Cardiovascular,13.21,5.52,5.75,873853.0,96.78,1.26,0.5,92.17,4.83,46.98
South Africa,2023,Asthma,Viral,1.14,11.86,7.64,655455.0,95.13,2.39,7.99,95.84,0.69,50.29
South Africa,2024,Diabetes,Neurological,11.78,8.19,4.05,728289.0,84.86,3.59,4.54,76.18,7.62,35.33
Mexico,2022,Asthma,Cardiovascular,16.45,0.83,4.55,839910.0,70.37,0.83,6.72,51.57,4.59,84.5
Turkey,2020,Diabetes,Respiratory,1.59,7.06,0.67,999629.0,66.36,3.96,9.59,83.71,5.12,59.88
Russia,2021,Asthma,Parasitic,13.88,8.34,2.7,124950.0,79.6,1.93,9.92,76.35,4.32,86.34
Argentina,2024,Cancer,Infectious,2.04,13.28,5.09,441754.0,95.95,2.31,3.01,63.36,0.24,36.42
South Korea,2021,Hypertension,Infectious,0.51,8.33,0.88,306141.0,97.95,1.93,7.72,68.23,9.71,85.46
Australia,2020,Asthma,Genetic,16.02,3.5,7.81,517175.0,79.68,4.48,7.83,64.61,4.14,63.4
Australia,2024,Asthma,Genetic,1.78,5.18,8.3,307994.0,77.78,1.7,6.52,69.36,4.42,47.29
Canada,2023,Cancer,Autoimmune,17.02,5.57,3.83,303787.0,88.96,3.31,4.41,72.73,7.02,81.44
France,2022,Cancer,Bacterial,4.72,0.72,4.62,276486.0,50.74,2.09,5.19,58.65,3.86,57.54
Indonesia,2020,Hypertension,Autoimmune,18.41,11.01,7.1,384749.0,53.49,3.55,1.04,57.9,8.41,33.14
Saudi Arabia,2023,Asthma,Viral,3.9,5.71,4.08,572797.0,78.22,1.67,1.72,52.45,8.57,20.5
Australia,2021,Hypertension,Metabolic,13.15,1.04,1.81,704007.0,77.93,1.35,8.53,63.91,2.52,28.51
Brazil,2021,Cancer,Cardiovascular,8.56,7.1,4.3,541158.0,62.01,1.54,7.55,92.0,1.72,82.83
Germany,2022,Hypertension,Autoimmune,1.74,14.51,3.16,965572.0,96.96,3.76,1.34,50.25,6.9,33.68
Nigeria,2024,Hypertension,Infectious,14.08,3.7,5.57,975171.0,89.47,4.8,1.88,81.04,5.46,85.21
Canada,2022,Diabetes,Bacterial,0.38,0.67,1.37,589790.0,82.46,1.0,9.83,63.97,4.07,23.77
China,2021,Diabetes,Genetic,1.26,5.3,4.07,374751.0,56.48,1.36,5.5,70.12,1.23,46.71
Mexico,2021,Asthma,Parasitic,7.66,2.92,1.7,579048.0,54.64,4.03,6.16,61.56,7.17,64.09
Italy,2024,Diabetes,Genetic,4.78,13.2,4.41,335709.0,50.98,3.21,1.49,85.86,0.56,66.43
India,2022,Asthma,Viral,5.48,14.36,9.05,215565.0,75.13,0.86,7.32,68.91,7.42,81.66
Turkey,2020,Cancer,Neurological,1.35,1.16,9.49,801602.0,56.13,1.56,6.17,93.34,3.87,24.62
China,2023,Cancer,Chronic,14.0,4.23,7.7,97605.0,84.97,2.93,8.71,92.15,9.04,22.6
South Africa,2024,Asthma,Cardiovascular,10.92,11.39,8.51,275676.0,91.28,0.54,2.64,78.16,8.86,57.63
Germany,2021,Cancer,Chronic,8.52,5.26,1.55,623127.0,71.94,2.35,4.19,78.98,1.07,50.02
Nigeria,2023,Cancer,Respiratory,14.43,8.15,6.41,72518.0,56.2,4.62,4.44,69.85,3.03,41.95
Turkey,2022,Diabetes,Infectious,18.36,14.58,5.94,19190.0,71.29,1.06,7.99,69.31,5.03,72.67
Australia,2023,Asthma,Cardiovascular,1.68,10.5,4.11,389506.0,72.67,3.02,7.15,84.45,3.79,44.1
Australia,2020,Hypertension,Parasitic,16.13,6.79,7.32,518942.0,85.84,1.63,7.28,60.5,7.49,24.34
Indonesia,2022,Diabetes,Viral,11.58,9.06,2.33,920038.0,69.31,1.49,5.09,79.28,7.5,48.91
Italy,2021,Cancer,Metabolic,2.82,4.42,3.56,735843.0,99.24,3.94,4.8,80.92,1.42,46.92
France,2022,Asthma,Bacterial,7.71,4.7,2.89,501591.0,69.16,4.43,5.67,98.51,4.08,82.42
UK,2021,Hypertension,Respiratory,9.82,9.45,4.17,486936.0,80.45,1.72,3.4,50.92,5.66,66.69
Italy,2022,Hypertension,Neurological,18.79,14.16,8.8,864974.0,77.12,1.1,6.82,59.95,3.9,45.49
USA,2023,Cancer,Cardiovascular,18.92,6.66,7.08,80172.0,69.85,3.46,1.03,64.94,0.38,43.08
